,Unnamed: 0,id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
3061,3061,28373743,Bed and breakfast in Amsterdam · 2 bedrooms · 1 bed · 1 shared bath,47778136,Oostelijk Havengebied - Indische Buurt,52.36765,4.93241,Private room,199,1,0,,,1,200,0
7834,7834,924339066825171012,Rental unit in Amsterdam · ★New · 1 bedroom · 1 bed · 1 bath,4851007,Centrum-Oost,52.3617,4.91456,Entire home/apt,240,4,0,,,1,7,0
3079,3079,28753915,Rental unit in Amsterdam · ★4.93 · 2 bedrooms · 3 beds · 1 bath,21732364,De Baarsjes - Oud-West,52.3622,4.86275,Entire home/apt,350,2,14,2022-07-28,0.26,1,0,0
3045,3045,28178051,Home in Amsterdam · ★5.0 · 3 bedrooms · 2 beds · 2.5 baths,7945954,Oud-Oost,52.35245,4.90964,Private room,600,7,3,2019-09-07,0.06,1,0,0
3082,3082,28778715,Rental unit in Amsterdam · ★5.0 · 1 bedroom · 1 bed · 1 bath,101200680,Slotervaart,52.36313,4.83731,Entire home/apt,191,6,3,2019-06-18,0.05,1,7,0
3085,3085,28800804,Bed and breakfast in Amsterdam · ★4.53 · 1 bedroom · 1 bed · 1 shared bath,52180905,Oostelijk Havengebied - Indische Buurt,52.36425,4.93857,Private room,60,2,45,2021-12-04,0.75,1,0,0
3089,3089,28854693,Rental unit in Amsterdam · ★4.93 · 1 bedroom · 1 bed · 1 bath,17888019,Bos en Lommer,52.3781,4.85682,Entire home/apt,110,4,15,2021-08-04,0.26,2,0,0
3090,3090,28859886,Rental unit in Amsterdam · ★4.80 · 1 bedroom · 1 bed · 2 baths,11885109,De Baarsjes - Oud-West,52.36405,4.86553,Entire home/apt,119,2,15,2020-02-16,0.25,1,0,0
3093,3093,28887550,Townhouse in Amsterdam · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,8826008,Watergraafsmeer,52.35336,4.92818,Entire home/apt,190,5,6,2022-06-10,0.13,1,0,0
3094,3094,28902322,Rental unit in Amsterdam · ★5.0 · 2 bedrooms · 1 bed · 1.5 baths,119746691,De Baarsjes - Oud-West,52.37177,4.87368,Entire home/apt,115,28,5,2021-08-15,0.08,1,0,0
